,gap,young,height,bottom_heta,barier_move_to_left,barier_move_to_right
0,0.08,60,0.064,80.0,0.17752,0.18678
1,0.08,65,0.064,80.0,0.19082,0.17189
2,0.08,70,0.064,80.0,0.17212,0.163
3,0.08,75,0.064,80.0,0.15253,0.14484
4,0.08,80,0.064,80.0,0.13247,0.12622
