,gap,young,height,bottom_heta,barier_move_to_left,barier_move_to_right
0,0.08,102,0.064,80.0,0.02528,0.02687
1,0.08,105,0.064,80.0,0.02695,0.02778
2,0.08,107,0.064,80.0,0.027895,0.028495
3,0.08,109,0.064,80.0,0.028865,0.029265
4,0.08,112,0.064,80.0,0.030545,0.030675
