,gap,young,height,bottom_heta,barier_move_to_left,barier_move_to_right
0,0.08,102,0.064,40.0,0.023945,0.02556
1,0.08,105,0.064,40.0,0.019115,0.02609
2,0.08,107,0.064,40.0,0.016125,0.02646
3,0.08,109,0.064,40.0,0.01469,0.02685
4,0.08,112,0.064,40.0,0.01794,0.02747
