,gap,young,height,bottom_heta,barier_move_to_left,barier_move_to_right
0,0.08,80.0,0.08,50,0.13742,0.11277
1,0.08,80.0,0.08,60,0.13552,0.11639
2,0.08,80.0,0.08,70,0.13406,0.12151
3,0.08,80.0,0.08,80,0.13247,0.12622
4,0.08,80.0,0.08,90,0.13534,0.13534
