,gap,young,height,bottom_heta,barier_move_to_left,barier_move_to_right
0,0.08,102.0,0.08,50,0.018745,0.02627
1,0.08,102.0,0.08,60,0.0193,0.02676
2,0.08,102.0,0.08,70,0.02249,0.02621
3,0.08,102.0,0.08,80,0.02514,0.02715
4,0.08,102.0,0.08,90,0.02562,0.02572
