,gap,young,height,barier
0,0.05,102.0,0.1,0.01226
1,0.06,102.0,0.1,0.00921
2,0.07,102.0,0.1,0.00617
3,0.08,102.0,0.1,0.0034
4,0.09,102.0,0.1,4e-05
